path,status,inRepo,repoSource,liveTitle,repoTitle,titleMatch,titleLen,liveDesc,repoDesc,descMatch,descLen,liveCanonical,repoCanonical,liveOgImage,repoOgImage,liveH1Count,liveH1,repoH1,h1Match,liveH2Count,liveH2,contentCoveragePct,h2MissingFromRepo,liveWords,liveImgs,liveImgNoAlt,liveSchema,liveTtfbMs,liveHtmlKB,liveLinksInternal,redirected,finalUrl,metaRobots
/,200,true,route,Montfort Real Estate | New York Realtor,Montfort Real Estate | New York Realtor,true,39,Our Realtors will help you find on and off market NYC real estate that meet your criteria while avoiding costly mistakes during the home buying process.,Our Realtors will help you find on and off market NYC real estate that meet your criteria while avoiding costly mistakes during the home buying process.,true,152,https://montfortre.com/,https://montfortre.com/,,https://montfortre.com/og-home.jpg,1,New York Realtor buying assistance to avoid overpaying for real estate,New York realtor buying assistance to avoid overpaying for real estate,true,15,Get Your Personalized Report || Uh Oh! || Thanks for requesting a free home valuation! || Interested in selling your home? || Are you aware of the hidden cost of buying real estate without a realtor? || Featured Realtor Service Areas || Efficient Realtor Buying Plan || Offered Realtor Services || Offered Realtor Services || Realtor Reviews || Follow us - @stanleymontfort || What’s Included When Working With A Realtor || Current Realtor Listings || Recent News & Realtor Advice || 11 Costly Mistakes Made When Buying a Brownstone,73,Get Your Personalized Report || Are you aware of the hidden cost of buying real estate without a realtor? || Follow us - @stanleymontfort || 11 Costly Mistakes Made When Buying a Brownstone,15042,45,22,RealEstateAgent|WebSite|WebPage|Organization,2308,285.7,155,false,https://montfortre.com/,
/privacy-policy,200,true,route,Privacy Policy | Montfort Real Estate,Privacy Policy | Montfort Real Estate,true,37,,,true,0,https://montfortre.com/privacy-policy/,https://montfortre.com/privacy-policy/,,https://montfortre.com/og-home.jpg,1,Privacy Policy,Privacy Policy,true,0,,,,5960,5,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,2083,97.9,79,false,https://montfortre.com/privacy-policy/,
/home-team,200,false,,Home - Team | Montfort Real Estate,,,34,Welcome to (site name). The best up to date real estate listings and comprehensive neighborhood information for the greater (area of operations) area.,,,150,https://montfortre.com/home-team/,,,,1,Our team is here to guide you along your real estate journey!,,,6,How we deliver better results. || See why dozens of home owners chose to work with us in the past year alone. || Browse through our featured listings. || Start exploring the areas you are interested in! || Read up on local news and real estate advice. || Thinking of selling your home?,,,7346,9,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,1468,153.5,153,false,https://montfortre.com/home-team/,
/why-choose-us,200,false,,Why Choose Us | Montfort Real Estate,,,36,Learn more about (Company Name) and meet the people that make your experience so great. Check out our story here.,,,113,https://montfortre.com/why-choose-us/,,,,1,Why Choose Us?,,,3,How may we assist you today? || Why work with us? || Why settle for less?,,,5703,5,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,1240,102.5,79,false,https://montfortre.com/why-choose-us/,
/success-stories,200,true,route,Success Stories | Montfort Real Estate,Success Stories | Montfort Real Estate,true,38,Read reviews from real clients about what they think of Montfort Real Estate % %,Read reviews from real clients about what they think of Montfort Real Estate % %,true,80,https://montfortre.com/success-stories/,https://montfortre.com/success-stories/,,https://montfortre.com/og-home.jpg,1,Amazing Success Stories,Success stories from New York buyers and sellers,false,0,,,,4292,5,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,939,108.8,80,false,https://montfortre.com/success-stories/,
/upper-west-side-townhouses-for-sale,200,false,,Upper West Side Townhouses for Sale and Rowhouses - Montfort Real Estate,,,72,"Interested in Manhattan Brownstones? Click the link above for the most recent Manhattan Brownstones for sale, and reach out to us for our off-market brownstones.",,,161,https://montfortre.com/upper-west-side-townhouses-for-sale/,,,,1,Scroll down to see exclusive Upper West Side Townhouses for Sale,,,0,,,,1498,2,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,419,59.6,60,false,https://montfortre.com/upper-west-side-townhouses-for-sale/,
/upper-west-side-apartments-for-sale,200,false,,Upper West Side Apartments for Sale | Montfort Real Estate,,,58,,,,0,https://montfortre.com/upper-west-side-apartments-for-sale/,,,,1,Scroll down to see exclusive Upper West Side Apartments for sale,,,0,,,,1507,2,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,839,59,59,false,https://montfortre.com/upper-west-side-apartments-for-sale/,
/harlem-brownstones-for-sale,200,true,route,Harlem Brownstones For Sale - Dream New York Homes Without Overpaying,Harlem Brownstones For Sale - Dream New York Homes Without Overpaying,true,69,"Interested in Harlem Brownstones? Click the link above for the most recent Harlem Brownstones for sale, and reach out to us for our off-market brownstones.","Interested in Harlem Brownstones? Click the link above for the most recent Harlem Brownstones for sale, and reach out to us for our off-market brownstones.",true,155,https://montfortre.com/harlem-brownstones-for-sale/,https://montfortre.com/harlem-brownstones-for-sale/,,https://montfortre.com/redesign-assets/og/harlem.png,1,Scroll down to see exclusive Harlem Brownstones For Sale,Scroll down to see exclusive Harlem Brownstones For Sale,true,0,,,,1529,2,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,715,60.2,62,false,https://montfortre.com/harlem-brownstones-for-sale/,
/124-west-131st-street-2,200,false,,124 West 131st Street | Montfort Real Estate,,,44,124 West 131st Street is a Landmark Brownstone that is Masterfully Reimagined,,,77,https://montfortre.com/124-west-131st-street-2/,,https://assets.agentfire3.com/uploads/sites/312/2025/10/1-6-1024x691.fit.png,,1,124 West 131st Street,,,2,About this property || Want to take a tour of this property?,,,4165,37,24,Organization|BreadcrumbList|RealEstateAgent|Product,1307,126.4,82,false,https://montfortre.com/124-west-131st-street-2/,
/nyc-brownstones-parking,200,false,,NYC Brownstones with Parking - Montfort Real Estate,,,51,Montfort Real Estate is a real estate advisor specializing in providing luxury concierge services for NYC brownstones with parking.,,,131,https://montfortre.com/nyc-brownstones-parking/,,,,1,Looking For An Exclusive Brownstone Or Townhouse with parking?,,,1,Receive exclusive access to off-market and on-market brownstones with parking while there's still inventory.,,,3339,2,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,1447,101.4,61,false,https://montfortre.com/nyc-brownstones-parking/,
/whats-my-home-worth,200,false,,Selling A Home In The New York County Real Estate Market,,,56,Selling a home in New York Countycan be challenging. Our marketing and advertising help you get the most money for your home during the sale process.,,,149,https://montfortre.com/whats-my-home-worth/,,,,1,What's My Home Worth?,,,0,,,,3784,5,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,966,94.2,78,false,https://montfortre.com/whats-my-home-worth/,
/perfect-home-finder,200,false,,Buying A Home In The New York County Real Estate Market,,,55,Buying a home in New York County can be challenging. Find out how we help buyers find their dream home in a competitive market.,,,127,https://montfortre.com/perfect-home-finder/,,,,1,Properties You'll Love,,,0,,,,3777,5,1,Organization|BreadcrumbList|RealEstateAgent|WebPage,1003,93,78,false,https://montfortre.com/perfect-home-finder/,
/100-west-88th-street-4a,200,false,,100 West 88th Street #4A | Montfort Real Estate,,,47,"Upper West Side 2-bedroom co-op for sale at 100 W 88th St, one block from Central Park. Renovated pre-war home with modern kitchen, spa bath & low HDFC maintenance.",,,164,https://montfortre.com/100-west-88th-street-4a/,,https://assets.agentfire3.com/uploads/sites/312/2025/03/1.png,,1,100 West 88th Street #4A,,,2,About this property || Want to take a tour of this property?,,,3986,16,1,Organization|BreadcrumbList|RealEstateAgent|Product,1104,114.6,83,false,https://montfortre.com/100-west-88th-street-4a/,
/108-west-114th-street-4b,200,false,,108 West 114th Street #4B | Montfort Real Estate,,,48,"Renovated 1-bedroom HDFC co-op for sale at 108 W 114th St in Harlem. Near Central Park, subway access, low income restrictions, primary residence required.",,,155,https://montfortre.com/108-west-114th-street-4b/,,https://assets.agentfire3.com/uploads/sites/312/2024/09/108-West-114th-Street-4B.png,,1,108 West 114th Street #4B,,,2,About this property || Want to take a tour of this property?,,,3891,19,1,Organization|BreadcrumbList|RealEstateAgent|Product,1160,114.2,83,false,https://montfortre.com/108-west-114th-street-4b/,
